SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
51,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.miv_rv32_debug_sba_0.sba_req_addr_int[31:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
52,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.miv_rv32_debug_sba_0.sbcs_ba_err_ff,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
53,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.miv_rv32_debug_du_0.miv_rv32_debug_sba_0.sbcs_to_err_ff,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
54,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.rd_gray_ptr_synch[1:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.rd_gray_ptr[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
55,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.wr_gray_ptr_synch[1:0],COREJTAGDEBUG_Z3|N_2_inferred_clock,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.wr_gray_ptr[1:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
56,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.wr_ptr[0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
57,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.fifo_memory[33:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
58,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.wr_gray_ptr[1:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.fifo_memory[40:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
59,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.rd_gray_ptr_synch[1:0],COREJTAGDEBUG_Z3|N_2_inferred_clock,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.rd_gray_ptr[1:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
60,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.wr_gray_ptr_synch[1:0],PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,COREJTAGDEBUG_Z3|N_2_inferred_clock,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_req_fifo.wr_gray_ptr[1:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
61,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.MIV_subsys_debug_transport_module_jtag_0.gen_shift_register_active_high\.gen_shift_register_active_low\.dtmcs_dmistat[3:0],COREJTAGDEBUG_Z3|N_2_inferred_clock,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.fifo_memory[33:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
62,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.MIV_subsys_debug_transport_module_jtag_0.gen_shift_register_active_high\.gen_shift_register_active_low\.shiftDMI[40:0],COREJTAGDEBUG_Z3|N_2_inferred_clock,PF_CCC_C0_0/PF_CCC_C0_0/pll_inst_0/OUT0,MIV_RV32_C0_0.MIV_RV32_C0_0.u_ipcore_0.gen_subsys_debug\.u_subsys_debug_unit_0.debug_resp_fifo.fifo_memory[33:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
